question,answer
What is an object in Python?,An object is an instance of a class.
What is a class in Python?,A class is a blueprint for creating objects.
What is inheritance in Python?,Inheritance allows a class to inherit properties and behavior from another class.
What is method overriding in Python?,Method overriding allows a subclass to provide a specific implementation of a method that is already provided by its parent class.
What is encapsulation in Python?,Encapsulation is the bundling of data with the methods that operate on that data.
What is a constructor in Python?,A constructor is a special method in a class that is automatically called when a new instance of the class is created.
What is polymorphism in Python?,Polymorphism allows objects of different classes to be treated as objects of a common superclass.
What are instance variables in Python?,Instance variables are variables that are unique to each instance of a class.
What is a superclass and subclass in Python?,"A superclass is a class from which other classes are derived, while a subclass is a class that is derived from another class (superclass)."
"What is the difference between instance, class, and static methods in Python?","Instance methods operate on an instance of a class, class methods operate on the class itself, and static methods are independent of the class and its instances."
